score_adjusted,bubble_rating,views,location_grade,amenity_count,time_to_booking,Actual_Segment,Predicted_Segment
4.30450987700335,4.5,5,89.0,40,10,High-Price Hotels,High-Price Hotels
4.98947368421053,5.0,0,100.0,55,20,High-Price Hotels,High-Price Hotels
4.5,4.5,0,91.0,0,30,Low-Price Hotels,Low-Price Hotels
3.92,4.0,0,100.0,10,29,Low-Price Hotels,Low-Price Hotels
4.93548387096774,5.0,0,75.0,8,20,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,77.0,8,27,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,100.0,0,28,Low-Price Hotels,Low-Price Hotels
4.51401869158879,4.5,0,100.0,20,1,High-Price Hotels,High-Price Hotels
4.06030150753769,4.0,0,91.0,25,18,Mid-Price Hotels,Mid-Price Hotels
4.03405572755418,4.0,0,100.0,14,17,Mid-Price Hotels,Mid-Price Hotels
2.40350877192982,2.5,0,100.0,29,11,Mid-Price Hotels,Mid-Price Hotels
3.60542290570619,3.5,0,100.0,40,18,Mid-Price Hotels,Mid-Price Hotels
3.66666666666667,3.5,0,70.0,1,7,Low-Price Hotels,Low-Price Hotels
3.46938775510204,3.5,0,100.0,30,6,High-Price Hotels,High-Price Hotels
4.56818181818182,4.5,0,100.0,15,7,High-Price Hotels,High-Price Hotels
3.80616740088106,4.0,0,100.0,10,25,Low-Price Hotels,Low-Price Hotels
2.15483870967742,2.0,0,51.0,35,27,Low-Price Hotels,Low-Price Hotels
3.83778966131907,4.0,0,72.0,15,4,Mid-Price Hotels,Mid-Price Hotels
4.2183908045977,4.0,0,100.0,20,11,High-Price Hotels,High-Price Hotels
4.85294117647059,5.0,0,99.0,12,2,High-Price Hotels,High-Price Hotels
4.85714285714286,5.0,0,100.0,25,19,Mid-Price Hotels,Mid-Price Hotels
4.79166666666667,5.0,0,94.0,11,9,High-Price Hotels,High-Price Hotels
4.3198900091659,4.5,6,100.0,105,1,High-Price Hotels,High-Price Hotels
3.56451612903226,3.5,0,59.0,24,8,Mid-Price Hotels,Mid-Price Hotels
3.4,3.5,0,100.0,22,17,Mid-Price Hotels,Mid-Price Hotels
3.85,4.0,0,96.0,3,6,Mid-Price Hotels,High-Price Hotels
3.58823529411765,3.5,0,92.0,14,20,Low-Price Hotels,Low-Price Hotels
